LATITUDE,LONGITUDE
38.882642,-76.986649
38.913194,-77.01796
38.82890029,-76.99665762
38.92709548,-76.99750816
38.90140877,-77.01478059
38.95766043,-77.03249635
38.88323155,-76.93472254
38.94953678,-77.01612127
38.87178699,-76.96964064
38.95560697,-77.02026761
38.95556043,-77.02006154
38.90413098,-76.93345864
38.90063043,-77.01342631
38.92773479,-76.97964056
38.95657102,-77.02468645
38.95761351,-77.0267653
38.88812445,-76.93260276
38.93630084,-77.02868418
38.91355761,-76.98619928
38.87838266,-77.01708548
38.87374198,-77.00246186
38.9581452,-77.02930077
38.89819568,-76.97397
38.942124,-77.023909
38.92633427,-77.02310884
38.900439,-76.985176
38.92930536,-76.97751943
38.95007658,-77.07999358
38.87969534,-77.01954037
38.91051495,-76.99725715
38.8980752,-76.92621694
38.91195414,-77.00158055
38.89678568,-76.92960925
38.86280605,-76.99515423
38.95048471,-77.08087264
38.92182667,-76.98830568
38.89564429,-76.95605929
38.94357291,-76.98938066
38.90908137,-77.00257457
38.87075711,-77.00732086
38.89998351,-76.99087486
38.90693659,-77.02418977
38.87860486,-76.98758475
38.90828815,-77.03233457
38.89946356,-76.98589398
38.92595087,-76.9819683
38.9234787,-77.04533548
38.91624111,-77.02261009
38.91653968,-77.02321325
38.91753476,-77.02308835
38.83149748,-77.0064155
38.92075584,-77.00014288
38.97523115,-77.015656
38.92774249,-77.02337512
38.90000517,-77.00175171
38.9204209,-76.96658577
38.89420842,-76.94629405
38.93994742,-77.02773369
38.88390782,-76.9838689
38.83406646,-76.98632844
38.9469514,-77.0645891
38.89943024,-76.92665141
38.96067401,-77.07251303
38.95950027,-77.03018431
38.89374448,-76.91189289
38.97427621,-77.02651929
38.98244099,-77.0261306
38.90824528,-77.02318714
38.86392171,-76.97128488
38.84005542,-76.98881414
38.95452794,-76.99972346
38.92691889,-76.95952134
38.86098471,-76.9972003
38.96457855,-77.02812532
38.95627895,-77.00777314
38.85953066,-76.99195708
38.86308851,-76.97983978
38.86335691,-76.99059621
38.87229033,-77.01629961
38.86021624,-76.99254611
38.96059929,-77.03313527
38.94846009,-77.03021552
38.90519022,-77.00829145
38.87647629,-76.93088522
38.90068876,-76.98344028
38.89485286,-76.9122453
38.89482697,-76.9121998
38.92460772,-76.99662534
38.93943419,-77.02509369
38.93015532,-76.95807879
38.92488582,-76.9515038
38.85566,-76.981961
38.90763736,-77.0004666
38.8800794,-76.96413462
38.83121148,-76.99998042
38.88574152,-76.97649306
38.88513446,-76.99592909
38.92790393,-77.02705722
38.89811197,-77.01412985
38.92154522,-76.9932256
38.93657238,-77.03447902
38.91037803,-76.93642717
38.92412243,-76.96608388
38.91345191,-77.02217728
38.85503641,-76.97228352
38.97610614,-77.01876036
38.90117146,-76.95086246
38.92026164,-77.03000223
38.93205742,-76.99704088
38.91280155,-77.02508362
38.90299395,-77.00864201
38.90353787,-77.00990033
38.90541126,-76.98607289
38.91287832,-77.02151538
38.93276032,-77.0219841
38.85068067,-76.98680911
38.95644218,-77.02722
38.91174954,-77.02431754
38.89314049,-76.91074197
38.88011362,-77.01142921
38.91719079,-77.0002719
38.90039266,-76.98811702
38.89564189,-76.98052604
38.84627882,-76.99172346
38.85823208,-76.99304024
38.9195432,-77.02482642
38.86269202,-76.96857663
38.89095544,-76.93801085
38.90526879,-77.01429947
38.83092483,-77.00802392
38.88050323,-77.02564195
38.83230413,-76.99130573
38.87726387,-76.99728563
38.90753743,-77.03275298
38.90278101,-77.01162479
38.87428995,-77.00077303
38.8442241,-76.98423162
38.90238668,-76.98517436
38.83164449,-77.0084316
38.9102476,-77.00938115
38.90639569,-77.00943379
38.96251143,-77.03005878
38.92233336,-76.95083508
38.9673491,-77.03305349
38.90500497,-77.05055156
38.92973259,-77.02299576
38.90443922,-77.02511308
38.91554389,-76.98480634
38.85854529,-76.99712642
38.89852971,-76.95060905
38.88208722,-76.93992495
38.92673002,-76.98255154
38.8636904,-76.9909393
38.97345391,-77.0311387
38.877362,-77.001827
38.8857742,-76.92803058
38.82841078,-77.00283263
38.90758771,-77.03172527
38.9027603,-77.0154418
38.95711566,-77.02321135
38.83669532,-77.00305906
38.88669035,-76.92920889
38.91937596,-77.03226811
38.96635082,-77.02703455
38.91068917,-77.02730412
38.90139421,-76.98626297
38.87920564,-76.98197401
38.90708524,-77.02512854
38.89072015,-76.98308792
38.92138292,-77.0327018
38.92341947,-77.04313318
38.94997216,-77.08084368
38.90778324,-77.02913723
38.92464967,-77.03923305
38.91852622,-77.02307471
38.93019291,-77.02314642
38.92160041,-77.04144003
38.90897171,-77.03223181
38.87604341,-77.01472774
38.93054362,-76.99365805
38.93342153,-77.02088342
38.97375485,-77.01474101
38.91289199,-76.98704458
38.92070791,-77.00009617
38.90040398,-76.99738735
38.92280559,-76.99407158
38.92998617,-77.03702764
38.90580301,-77.0265524
38.901633,-76.98702968
38.9164625,-77.03158762
38.92150832,-77.04099416
38.93201222,-77.02603185
38.9343927,-77.02375008
38.92802685,-77.0357225
38.88340901,-77.01941553
38.87280145,-77.00415813
38.93839743,-77.02432317
38.91629231,-77.02536643
38.92880909,-77.02341676
38.91996871,-77.03159333
38.94332114,-77.02618974
38.87983734,-76.98336548
38.918937,-77.002231
38.90743761,-77.04027379
38.92381287,-77.04002737
38.9130217,-77.02219778
38.96720274,-77.03543727
38.95490709,-77.02474275
38.95763055,-77.02632618
38.88106149,-76.98995977
38.86929843,-76.97573391
38.89996926,-76.99911164
38.90988485,-77.04247517
38.91839177,-77.04004624
38.91202447,-77.03160895
38.917646,-77.03355
38.85577573,-76.98719942
38.923773,-77.039379
38.85695835,-76.97105784
38.86884466,-76.96698004
38.89010789,-76.95318981
38.937241,-77.035724
38.895911,-76.984253
38.88863174,-76.95431425
38.93431761,-76.96637222
38.92448172,-77.03871966
38.934667,-76.991756
38.9375,-77.032316
38.87584464,-77.02059898
38.890963,-76.941325
38.90003522,-76.99372728
38.93110223,-77.02477867
38.904073,-77.036964
38.902264,-76.989434
38.85981208,-76.98386904
38.86521846,-76.97833387
38.827353,-76.994618
38.883744,-76.98807
38.94060586,-77.02350807
38.97139886,-77.02743539
38.93767069,-77.03562963
38.88544213,-76.95592161
38.95578329,-77.01137754
38.98100129,-77.02694258
38.95728189,-77.02168038
38.85425668,-76.97132518
38.91538357,-77.02325081
38.934266,-77.034725
38.95646254,-77.02683282
38.92751398,-77.02275494
38.91037803,-76.93642717
38.91924174,-77.02460757
38.90745038,-77.02323254
38.86449418,-77.011821
38.87018429,-76.96982235
38.8944362,-76.9189464
38.92670475,-76.99080271
38.92059325,-77.04047991
38.91277734,-77.03169979
38.90043269,-76.99291461
38.92402558,-77.05145428
38.92027819,-77.03401565
38.97374251,-77.01605612
38.91069664,-77.00936599
38.86563863,-76.98318236
38.83183787,-77.00703263
38.86181035,-76.99324994
38.97437514,-77.01903641
38.84310607,-76.98815455
38.92581445,-77.03731712
38.91310723,-77.00872406
38.95708325,-77.02841495
38.88565119,-76.98110068
38.93767069,-77.03562963
38.97400214,-77.03081836
38.90637443,-77.01962343
38.93621104,-77.02749394
38.93628732,-77.03241013
38.93598615,-76.99071016
38.90779822,-77.02675525
38.91279107,-76.93584528
38.8819436,-77.01717785
38.92373804,-76.99353537
38.91006744,-76.99879871
38.92963006,-77.02305063
38.92085249,-77.03267722
38.91835421,-77.02545504
38.91213365,-77.00942936
38.90192954,-76.98963507
38.95611235,-77.02480813
38.89937522,-76.97735445
38.93424958,-76.99135708
38.90978907,-76.98551584
38.93089459,-77.02825539
38.94382501,-77.02629271
38.90130746,-76.98300079
38.90669307,-77.00846249
38.93288638,-76.97917556
38.92079419,-77.03945464
38.92334667,-77.03441416
38.97374251,-77.01605612
38.8270239,-76.99987758
38.94058377,-77.0783924
38.94170237,-77.07725109
38.93447055,-77.05821888
38.94265626,-77.06225062
38.89911748,-76.98149621
38.95655314,-77.02299219
38.94436879,-77.02653088
38.88533272,-76.9739891
38.94672795,-77.03298613
38.92408028,-76.99424088
38.88054446,-77.02410775
38.87018191,-77.01182967
38.90401555,-76.99248954
38.86156072,-76.98096948
38.93034879,-76.97282456
38.90326591,-76.97985391
38.92260821,-76.99103929
38.9581565,-77.02915667
38.93594607,-77.02768484
38.96276557,-77.08244091
38.95971848,-77.08576744
38.95972972,-77.08455148
38.91711166,-77.06729261
38.95665418,-77.08304948
38.86668483,-76.98581576
38.95617411,-77.02372803
38.89009159,-76.98298468
38.94448498,-77.00578546
38.90792947,-77.00087624
38.90958091,-76.99987755
